City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,La Orilla,MX,82.24,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
19,Poso,ID,83.34,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
22,Banjar,ID,82.31,few clouds,-8.19,114.9675,The Hamsa Resort
27,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Kavaratti,IN,80.17,light rain,10.5669,72.642,Green leaf
33,Shingu,JP,82.53,moderate rain,33.7333,135.9833,Shingu UI Hotel
34,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
40,Tabuk,PH,81.28,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
41,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
43,Palmer,US,82.44,scattered clouds,42.1584,-72.3287,Wedgewood Motel
44,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
46,Lakatoro,VU,82.76,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
48,Saint George,US,93.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
57,Bethel,US,81.75,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
58,Les Cayes,HT,80.19,scattered clouds,18.2,-73.75,Villa Orphee
63,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Central
65,Huilong,CN,90.01,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
72,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
73,Naze,JP,85.12,broken clouds,28.3667,129.4833,Shishime Hotel
78,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
84,Butaritari,KI,82.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
86,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
88,Dingle,PH,81.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
93,North Myrtle Beach,US,83.05,few clouds,33.816,-78.68,Avista Resort
96,Namatanai,PG,84.24,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
98,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
103,Samarai,PG,80.74,scattered clouds,-10.6167,150.6667,Nuli Sapi
110,Ormara,PK,80.42,few clouds,25.2088,64.6357,Kenara Colony House for Rent
114,Mecca,SA,85.59,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
123,Sur,OM,86.83,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
127,Mahibadhoo,MV,81.73,overcast clouds,3.7833,72.9667,Omadhoo Inn
135,Arlit,NE,88.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
140,Westport,US,82.27,clear sky,41.1415,-73.3579,The Westport Inn
154,Tanete,ID,81.82,few clouds,-3.9443,119.7848,Wisma Tri Multi
160,Saint Anthony,US,84.92,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
162,Maunabo,PR,82.71,scattered clouds,18.0072,-65.8993,Parador Maunacaribe
164,West Chester,US,82.11,clear sky,39.9607,-75.6055,Microtel Inn & Suites by Wyndham West Chester
165,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
170,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
185,Indianola,US,87.6,clear sky,41.3581,-93.5574,Quality Inn Indianola
188,Brownsville,US,87.1,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
190,Phibun Mangsahan,TH,82.38,overcast clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
193,Vanimo,PG,81.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
197,Kokopo,PG,83.79,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
215,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
220,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
222,Itupiranga,BR,82.72,overcast clouds,-5.1347,-49.3267,Hotel Panorama
225,Zhangjiakou,CN,86.61,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
235,Kavieng,PG,83.8,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
