City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-07-31 23:11:48,42.097,-79.2353,78.03,49,20,8.05
1,Ushuaia,AR,2022-07-31 23:10:12,-54.8,-68.3,38.86,93,40,8.05
2,Ocos,GT,2022-07-31 23:11:48,14.5094,-92.1933,86.18,87,96,16.22
3,Albany,US,2022-07-31 23:11:49,42.6001,-73.9662,79.52,60,99,4.29
4,Mnogovershinnyy,RU,2022-07-31 23:11:49,53.9353,139.9242,67.5,71,37,5.75
5,Pontes E Lacerda,BR,2022-07-31 23:11:49,-15.2261,-59.3353,76.75,31,1,1.12
6,General Roca,AR,2022-07-31 23:11:49,-39.0333,-67.5833,52.02,48,99,2.89
7,Hihya,EG,2022-07-31 23:11:50,30.6713,31.588,73.96,91,0,5.03
8,Parasia,IN,2022-07-31 23:11:50,22.2,78.7667,72.12,90,98,5.28
9,Nikita,UA,2022-07-31 23:11:50,44.5333,34.2333,65.88,68,0,8.84
10,Dingle,PH,2022-07-31 23:11:51,10.9995,122.6711,78.01,84,100,1.63
11,Mataura,NZ,2022-07-31 23:11:51,-46.1927,168.8643,46.47,86,24,5.75
12,New Norfolk,AU,2022-07-31 23:11:51,-42.7826,147.0587,49.91,84,99,5.99
13,Kiruna,SE,2022-07-31 23:11:52,67.8557,20.2251,50.92,87,20,6.91
14,Avarua,CK,2022-07-31 23:11:39,-21.2078,-159.775,78.85,65,25,17.27
15,Victoria,HK,2022-07-31 23:10:32,22.2855,114.1577,86.38,80,7,4.0
16,Busselton,AU,2022-07-31 23:11:52,-33.65,115.3333,57.24,91,88,29.62
17,Butaritari,KI,2022-07-31 23:11:52,3.0707,172.7902,81.34,78,58,13.89
18,Kaeo,NZ,2022-07-31 23:11:53,-35.1,173.7833,61.32,75,18,5.39
19,Terrace Bay,CA,2022-07-31 23:11:53,48.7834,-87.1,54.77,87,93,6.49
20,Manggar,ID,2022-07-31 23:11:53,-2.8833,108.2667,80.19,81,99,9.73
21,Georgetown,MY,2022-07-31 23:11:54,5.4112,100.3354,80.89,87,40,2.3
22,Talara,PE,2022-07-31 23:11:54,-4.5772,-81.2719,63.75,84,15,16.62
23,Tiksi,RU,2022-07-31 23:11:24,71.6872,128.8694,42.08,94,100,14.05
24,Kapaa,US,2022-07-31 23:11:54,22.0752,-159.319,87.78,63,40,16.11
25,Tasiilaq,GL,2022-07-31 23:11:55,65.6145,-37.6368,44.76,50,43,5.53
26,Sakakah,SA,2022-07-31 23:11:55,29.9697,40.2064,91.58,17,61,7.38
27,Kimbe,PG,2022-07-31 23:11:55,-5.5502,150.1429,85.23,64,72,3.06
28,Almaznyy,RU,2022-07-31 23:11:55,48.0448,40.045,70.34,61,8,12.08
29,Ribeira Grande,PT,2022-07-31 23:11:56,38.5167,-28.7,74.12,73,16,2.91
30,Qaanaaq,GL,2022-07-31 23:09:35,77.484,-69.3632,46.33,60,66,1.41
31,Serra,BR,2022-07-31 23:11:56,-20.1286,-40.3078,71.06,78,100,3.44
32,Leon Valley,US,2022-07-31 23:11:56,29.4952,-98.6186,102.45,30,0,9.22
33,Bredasdorp,ZA,2022-07-31 23:11:57,-34.5322,20.0403,42.51,83,3,3.65
34,Port Augusta,AU,2022-07-31 23:11:57,-32.5,137.7667,48.49,74,0,5.73
35,Margate,GB,2022-07-31 23:11:57,51.3813,1.3862,66.9,90,97,3.0
36,Barrow,US,2022-07-31 23:11:58,71.2906,-156.7887,35.62,87,100,9.22
37,Mackay,AU,2022-07-31 23:11:58,-21.15,149.2,68.68,77,72,7.81
38,Cape Town,ZA,2022-07-31 23:11:58,-33.9258,18.4232,56.37,77,0,8.99
39,Leh,IN,2022-07-31 23:10:12,34.1667,77.5833,60.01,55,40,5.55
40,Fonte Boa,BR,2022-07-31 23:11:59,-2.4959,-66.2662,78.49,78,73,1.97
41,Nome,US,2022-07-31 23:09:23,64.5011,-165.4064,58.15,82,100,8.05
42,Tartagal,AR,2022-07-31 23:11:59,-22.5164,-63.8013,62.89,54,15,3.98
43,Port Alfred,ZA,2022-07-31 23:11:59,-33.5906,26.891,53.08,73,18,11.52
44,Lompoc,US,2022-07-31 23:07:20,34.6391,-120.4579,77.0,66,0,12.66
45,Vaini,TO,2022-07-31 23:12:00,-21.2,-175.2,80.76,89,75,8.05
46,Hobart,AU,2022-07-31 23:13:00,-42.8794,147.3294,50.25,71,75,13.8
47,Kismayo,SO,2022-07-31 23:13:00,-0.3582,42.5454,75.43,82,1,17.02
48,Imeni Poliny Osipenko,RU,2022-07-31 23:13:01,52.4201,136.4853,71.49,77,46,8.3
49,Castro,BR,2022-07-31 23:09:39,-24.7911,-50.0119,53.8,75,0,1.41
50,Mandalgovi,MN,2022-07-31 23:13:01,45.7625,106.2708,67.51,49,99,12.12
51,Lavrentiya,RU,2022-07-31 23:13:01,65.5833,-171.0,48.38,69,52,3.42
52,Cayenne,GF,2022-07-31 23:13:02,4.9333,-52.3333,83.08,1,40,0.0
53,Atuona,PF,2022-07-31 23:13:02,-9.8,-139.0333,76.87,75,12,14.5
54,Dikson,RU,2022-07-31 23:13:02,73.5069,80.5464,40.87,94,100,14.58
55,Arraial Do Cabo,BR,2022-07-31 23:13:03,-22.9661,-42.0278,68.5,66,0,9.28
56,Svetlyy,RU,2022-07-31 23:13:03,54.675,20.1347,64.45,92,100,7.45
57,Mar Del Plata,AR,2022-07-31 23:13:03,-38.0023,-57.5575,55.94,83,0,5.75
58,Hirara,JP,2022-07-31 23:13:03,24.8,125.2833,82.44,81,100,11.59
59,Drayton Valley,CA,2022-07-31 23:13:04,53.2168,-114.9854,67.48,84,95,6.15
60,Carnarvon,AU,2022-07-31 23:13:04,-24.8667,113.6333,69.6,57,100,10.25
61,Champerico,GT,2022-07-31 23:13:04,14.3,-91.9167,81.43,81,100,10.83
62,Rikitea,PF,2022-07-31 23:13:05,-23.1203,-134.9692,72.18,74,100,22.57
63,Ankang,CN,2022-07-31 23:13:05,32.68,109.0172,79.93,69,68,2.13
64,Meulaboh,ID,2022-07-31 23:13:05,4.1363,96.1285,76.3,88,96,4.92
65,Sinnamary,GF,2022-07-31 23:13:06,5.3833,-52.95,78.87,84,46,6.44
66,Nouadhibou,MR,2022-07-31 23:12:43,20.931,-17.0347,70.93,92,16,11.81
67,Padang,ID,2022-07-31 23:13:06,-0.9492,100.3543,77.41,86,100,3.29
68,Hermanus,ZA,2022-07-31 23:13:06,-34.4187,19.2345,39.79,72,2,6.64
69,Petropavlovsk-Kamchatskiy,RU,2022-07-31 23:12:36,53.0452,158.6483,57.79,72,75,4.47
70,San Isidro,PE,2022-07-31 23:13:07,-12.1167,-77.05,62.02,81,100,11.5
71,Bubaque,GW,2022-07-31 23:09:31,11.2833,-15.8333,79.52,78,97,16.02
72,Hithadhoo,MV,2022-07-31 23:13:07,-0.6,73.0833,80.47,74,100,16.08
73,Sabang,ID,2022-07-31 23:13:07,5.8933,95.3214,82.09,75,100,14.85
74,Vilhena,BR,2022-07-31 23:13:08,-12.7406,-60.1458,73.74,39,3,2.73
75,Bathsheba,BB,2022-07-31 23:11:18,13.2167,-59.5167,83.01,89,40,19.57
76,Qaqortoq,GL,2022-07-31 23:13:08,60.7167,-46.0333,47.97,87,74,3.02
77,Lata,PT,2022-07-31 23:13:08,40.1629,-8.3327,69.69,61,0,2.3
78,Tarrafal,CV,2022-07-31 23:13:09,15.2833,-23.7667,76.68,76,18,9.15
79,Cairns,AU,2022-07-31 23:11:29,-16.9167,145.7667,74.07,83,100,10.36
80,Upernavik,GL,2022-07-31 23:13:09,72.7868,-56.1549,50.41,66,96,1.12
81,Black River,JM,2022-07-31 23:13:09,18.0264,-77.8487,87.03,63,7,14.07
82,Casa Nova,BR,2022-07-31 23:13:10,-9.4167,-41.1333,82.27,40,33,20.33
83,Bambous Virieux,MU,2022-07-31 23:10:03,-20.3428,57.7575,68.22,71,13,13.42
84,Isangel,VU,2022-07-31 23:12:33,-19.55,169.2667,78.91,78,40,8.05
85,Oyama,JP,2022-07-31 23:13:10,36.3,139.8,87.58,66,94,0.34
86,Tuktoyaktuk,CA,2022-07-31 23:13:11,69.4541,-133.0374,50.94,74,67,10.85
87,Jalu,LY,2022-07-31 23:13:11,29.0331,21.5482,81.37,58,0,16.28
88,Puerto Quijarro,BO,2022-07-31 23:13:11,-17.7833,-57.7667,77.29,33,0,0.83
89,East London,ZA,2022-07-31 23:09:41,-33.0153,27.9116,54.77,63,5,8.5
90,Te Anau,NZ,2022-07-31 23:13:12,-45.4167,167.7167,42.73,95,83,6.6
91,Maningrida,AU,2022-07-31 23:13:12,-12.0667,134.2667,72.64,75,71,8.21
92,Provideniya,RU,2022-07-31 23:14:12,64.3833,-173.3,48.31,81,0,4.47
93,Ratnagiri,IN,2022-07-31 23:12:39,16.9833,73.3,80.35,86,93,7.36
94,Vondrozo,MG,2022-07-31 23:14:13,-22.8167,47.2833,58.42,98,32,2.04
95,Nikolskoye,RU,2022-07-31 23:14:13,59.7035,30.7861,57.09,82,100,3.6
96,Khatanga,RU,2022-07-31 23:14:13,71.9667,102.5,44.76,73,100,7.99
97,Geraldton,AU,2022-07-31 23:14:14,-28.7667,114.6,59.41,67,100,23.02
98,Minbu,MM,2022-07-31 23:14:14,20.1833,94.8833,80.58,79,100,7.05
99,Cidreira,BR,2022-07-31 23:14:14,-30.1811,-50.2056,59.23,87,89,9.8
100,Bluff,NZ,2022-07-31 23:14:15,-46.6,168.3333,46.8,76,51,15.17
101,Faanui,PF,2022-07-31 23:14:15,-16.4833,-151.75,78.82,71,12,25.88
102,Kui Buri,TH,2022-07-31 23:14:15,12.0828,99.8543,78.13,89,93,3.44
103,Antofagasta,CL,2022-07-31 23:14:15,-23.65,-70.4,56.48,86,58,7.31
104,Broome,US,2022-07-31 23:14:16,42.2506,-75.833,78.48,65,0,3.44
105,Cockburn Town,TC,2022-07-31 23:09:57,21.4612,-71.1419,82.36,78,40,16.11
106,Talnakh,RU,2022-07-31 23:14:16,69.4865,88.3972,45.21,70,20,16.02
107,Bud,US,2022-07-31 23:14:17,39.447,-86.1758,82.89,62,2,3.15
108,Kajaani,FI,2022-07-31 23:14:17,64.2273,27.7285,50.05,100,0,2.3
109,Saint George,US,2022-07-31 23:09:44,37.1041,-113.5841,87.64,46,20,12.66
110,Chuy,UY,2022-07-31 23:14:17,-33.6971,-53.4616,49.35,79,94,5.88
111,Filingue,NE,2022-07-31 23:14:18,14.3521,3.3168,83.07,53,100,9.1
112,Palmer,US,2022-07-31 23:14:18,42.1584,-72.3287,81.64,64,75,3.44
113,Hilo,US,2022-07-31 23:14:18,19.7297,-155.09,85.28,63,40,13.8
114,Krasnoselkup,RU,2022-07-31 23:14:18,65.7,82.4667,45.14,73,6,20.65
115,Luderitz,NA,2022-07-31 23:10:53,-26.6481,15.1594,58.6,51,0,9.35
116,Sao Filipe,CV,2022-07-31 23:11:20,14.8961,-24.4956,75.79,75,42,5.64
117,Clyde River,CA,2022-07-31 23:14:19,70.4692,-68.5914,37.63,93,75,8.05
118,Bima,ID,2022-07-31 23:14:19,-8.4667,118.7167,73.76,89,73,2.8
119,Sedalia,US,2022-07-31 23:14:20,38.7045,-93.2283,87.93,62,20,6.91
120,Vila Velha,BR,2022-07-31 23:09:48,-20.3297,-40.2925,71.55,83,100,3.44
121,Kodiak,US,2022-07-31 23:14:20,57.79,-152.4072,62.11,72,100,5.75
122,Neryungri,RU,2022-07-31 23:14:20,56.6709,124.6491,62.33,90,100,2.73
123,Ponta Do Sol,PT,2022-07-31 23:09:31,32.6667,-17.1,72.01,77,3,2.37
124,Pimentel,PE,2022-07-31 23:14:21,-6.8367,-79.9342,66.49,68,0,19.57
125,Bethel,US,2022-07-31 23:14:21,41.3712,-73.414,81.52,60,0,6.91
126,Castelo Do Piaui,BR,2022-07-31 23:14:21,-5.3222,-41.5525,77.9,64,97,3.06
127,Moose Factory,CA,2022-07-31 23:14:22,51.2585,-80.6094,57.18,94,100,6.91
128,Nago,JP,2022-07-31 23:14:22,26.5881,127.9761,81.03,90,100,15.75
129,Haines Junction,CA,2022-07-31 23:14:22,60.7522,-137.5108,64.35,59,95,6.91
130,Port Elizabeth,ZA,2022-07-31 23:14:22,-33.918,25.5701,48.31,83,3,1.99
131,Alofi,NU,2022-07-31 23:14:23,-19.0595,-169.9187,77.45,79,2,21.7
132,Hamilton,US,2022-07-31 23:14:23,39.1834,-84.5333,80.31,75,0,5.75
133,Lebedinyy,RU,2022-07-31 23:14:23,58.5167,125.5167,65.26,77,100,7.43
134,Belyy Yar,RU,2022-07-31 23:10:00,53.6039,91.3903,60.69,92,0,2.24
135,Peleduy,RU,2022-07-31 23:15:24,59.6289,112.7406,61.7,96,99,3.83
136,Codrington,AU,2022-07-31 23:15:24,-38.2667,141.9667,46.08,91,33,16.2
137,Boa Vista,BR,2022-07-31 23:15:24,2.8197,-60.6733,82.38,69,20,5.75
138,Leshukonskoye,RU,2022-07-31 23:15:25,64.8989,45.7622,57.92,98,99,2.73
139,Yulara,AU,2022-07-31 23:15:25,-25.2406,130.9889,49.86,42,39,9.42
140,Yellowknife,CA,2022-07-31 23:15:25,62.456,-114.3525,64.92,45,40,6.91
141,Sitka,US,2022-07-31 23:10:53,57.0531,-135.33,57.09,88,100,8.05
142,Klaksvik,FO,2022-07-31 23:15:26,62.2266,-6.589,50.4,85,28,12.57
143,Suntar,RU,2022-07-31 23:15:26,62.1444,117.6319,63.64,93,99,4.54
144,Tefe,BR,2022-07-31 23:15:26,-3.3542,-64.7114,84.31,79,0,3.44
145,Camana,PE,2022-07-31 23:15:26,-16.6228,-72.7111,59.99,81,61,5.19
146,Shyryayeve,UA,2022-07-31 23:15:27,47.3805,30.1964,67.46,74,96,10.0
147,Merrill,US,2022-07-31 23:15:27,45.1805,-89.6835,81.1,56,0,9.22
148,Dauphin,CA,2022-07-31 23:15:27,51.1494,-100.0502,69.94,68,75,4.61
149,Pisco,PE,2022-07-31 23:11:19,-13.7,-76.2167,60.85,82,100,6.91
150,Damghan,IR,2022-07-31 23:15:28,36.1683,54.348,77.45,40,78,1.52
151,Wichian Buri,TH,2022-07-31 23:15:28,15.6578,101.106,75.25,90,100,1.92
152,Teya,RU,2022-07-31 23:13:48,60.3778,92.6267,53.13,91,100,4.61
153,Saint-Pierre,RE,2022-07-31 23:13:07,-21.3393,55.4781,67.91,68,0,6.91
154,Karata,RU,2022-07-31 23:15:29,42.5949,46.3393,58.71,80,78,3.67
155,Chupa,RU,2022-07-31 23:15:29,66.27,33.0549,53.87,90,93,4.16
156,Punta Arenas,CL,2022-07-31 23:15:29,-53.15,-70.9167,42.12,75,100,11.23
157,Marsa Matruh,EG,2022-07-31 23:15:29,31.3525,27.2453,77.99,84,29,12.8
158,Tyrma,RU,2022-07-31 23:15:30,50.0833,132.1667,69.03,98,98,2.84
159,Vila Franca Do Campo,PT,2022-07-31 23:15:30,37.7167,-25.4333,72.01,82,71,4.07
160,Salalah,OM,2022-07-31 23:15:30,17.0151,54.0924,77.09,88,75,9.22
161,Dwarka,IN,2022-07-31 23:15:31,22.2394,68.9678,80.71,81,80,20.2
162,Sorong,ID,2022-07-31 23:15:31,-0.8833,131.25,78.06,86,80,4.59
163,Tudela,ES,2022-07-31 23:15:31,42.0617,-1.6045,72.5,72,0,11.03
164,Fortuna,US,2022-07-31 23:15:31,40.5982,-124.1573,70.93,77,0,9.22
